"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
5031DM-two,5031DM-two-1,
5031DM-two-1-LA,5031DM-two-1,
5031DM4,5031DM-4,
5031MCC-1,5031MCC,
5031MCC-1-LA,5031MCC,
5031MCC-2-1,5031MCC-2,
5031MCC-4-1,5031MCC-4,
5031MCC-four,5031MCC-4,
5031MCC-four-1,5031MCC-4,
5031MCC-four-1-LA,5031MCC-4,
5031MCC-Two,5031MCC-2,
5031MCC-Two-1,5031MCC-2,
5031MCC-Two-1-LA,5031MCC-2,
5031MCC4,5031MCC-4,
5031MDM-2-LA,5031MDM-2,
5031MDM-4-1,5031MDM-4,
5031MDM-four,5031MDM-4,
5031MDM-four-1,5031MDM-4,
5031MDM-four-1-LA,5031MDM-4,
5031MDM-Two,5031MDM-2,
5031MDM-Two-1,5031MDM-2,
5031RCC,5031RCC-4,
5031RCC-4-LA,5031RCC-4,
5032-24B-four,5032-24B-4,
5032-24B-four-1,5032-24B-4,
5032-24DC-four-1,5032-24DC-4,
5037B-A,5037B,
5037B-A-LA,5037B,
5037B-LA,5037B,
5037R-B-LA,5037R-B,
5037R-LA,5037R,
5037ra,5037R,
5038B-LA,5038B,
5039B-A-LA,5039B-A,
5039B-C,5039B,
5039B-C-LA,5039B,
5039WN,5039NW,
5042B-LA,5042B,
5044B-2.a,5044b-2,
5044B.a,5044b,
5044BG-2.a,5044BG-2,
5044BG.a,5044BG,
5044BGE,5044BG,
5045BG-2.a,5045BG-2,
"5046BL 8012",5046BL,
5046BL-1,5046BL,
"5046BR 8014",5046BR,
5046BR-1,5046BR,
5046BR1,5046BR,
"5046BU 8013",5046bu,
5046W,5046wh,
5048-124MDM-4,5048-24MDM-4,
5048-24DM-1,5048-24DM,
5048-24DM-2-par,5048-24DM-2,
5048-24DM-4-par,5048-24DM-4,
5048-24DM-four,5048-24DM-4,
5048-24DM-two,5048-24DM-2,
5048-24DM-two-LA,5048-24DM-2,
5048-24MCC-1,5048-24MCC,
5048-24MCC-1-LA,5048-24MCC,
5048-24MCC-four,5048-24MCC-4,
5048-24MCC-four-LA,5048-24MCC-4,
5048-24MCC-two,5048-24MCC-2,
5048-24MCC-two-LA,5048-24MCC-2,
5048-24MDM-1,5048-24MDM,
5048-24MDM-four,5048-24MDM-4,
5048-24MDM-two,5048-24MDM-2,
5048-24MDM-two-LA,5048-24MDM-2,
5048-24MGG-4-LA,5048-24MGG-4,
5048DM-four,5048DM-4,
5048DM-two,5048DM-2,
5048MCC-1,5048MCC,
5048MCC-four,5048MCC-4,
5048MCC-two,5048MCC-2,
5048MDM-1,5048MDM,
5048MDM-Four,5048MDM-4,
5048MDM-four-LA,5048MDM-4,
5048MDM-two,5048MDM-2,
5048MDM-two-LA,5048MDM-2,
5048MGG-4-LA,5048MGG-4,
"5049B 8011",5049b,
"5049R 8010",5049r,
5050-LA,5050,
5051-LA,5051,
5052-LA,5052,
5060MCC-4-LA,5060MCC-4,
5060MCC-Four,5060MCC-4,
5060MCC-Two,5060MCC-2,
"5060MDM 4",5060MDM-4,
5060MDM-1,5060MDM,
5060MDM-4-LA,5060MDM-4,
5060MDM-Four,5060MDM-4,
5060MDM-Two,5060MDM-2,
5061-5062,AM5061-5062,
5062MCC-LA,5062MCC,
5063CC-LA,5063cc,
5063MCC-LA,5063MCC,
5064DM-LA,5064DM,
5065CC-LA,5065CC,
5065MCC-LA,5065MCC,
5066GG,5066GG-2,
