"Item Type","Scan Control","Teapplix SKU","Item Title",Category,"Walmart Category Id","Walmart Tax Code",Supplier,"Supplier SKU",Asin,UPC,FNSKU,Location,Xref3,"Image Small","Image Large","Default Price","MSRP Price","MAP Price","Customs Value","Customs Description","Localized Customs Description","Harmonized Tariff Code","Sales Rep","Commission Rate",Date,"Dangerous Goods Type","Country of Origin",Brand,Model,Manufacturer,"Manufacturer Part Number","Has Category",Active,Weight,"Weight Unit","Initial Qty"
0,normal,1015844487320125572,"BTExpert AC Adapter Power Supply for Dell P14F/P15F/P15G/P16G Series PRRRF PRV1Y T54F3 T54FJ Charger with Cord",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/products/200_9998ee6c-f6a9-4997-83de-fe5930ad4a71.jpg?v=1525809909,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10345139090442351656,"BTExpert AC Adapter Power Supply for Dell K000046320/330 PA3533U/34U/3",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/products/200_dbaa72fa-3cda-4a85-bb7d-293590342860.jpg?v=1525809909,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10455880579921640004,"BTEXPERT Crew Diabetic Socks for Men & Women, Non-Binding Cotton for Neuropathy, Cushioned Moisture-Wicking Loose Fit, 6 Pairs, Size 9-11",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/NS5325-6-1A.jpg?v=1776811506,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10584727198483200473,"NOVASTILE Men's Rhinestone Embellished Jeans Straight Leg Stretch Denim Pants Streetwear M3",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M3-JETBLACK-1A_640625d4-6762-4d20-bffe-71dbc91bdab3.png?v=1777493395,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10664910746097109983,"BTEXPERT Men’s Ripped Straight Fit Jeans Rigid Distressed Light Wash Denim Pants Casual Streetwear Mid Rise Loose Relaxed Fit 5 Pocket Comfortable ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M1-ICEBLUE-1A.png?v=1776377584,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10672713033421335568,"BTEXPERT Men’s Dark Wash Rigid Distressed Ripped Jeans Relaxed Straight Leg Denim Pants Rip & Repair Washed Finish Mid Rise Casual Streetwear Everyday",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M2-SBLUE-1A.png?v=1776378873,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10756592886245847997,"BTEXPERT Men’s Rhinestone Embellished Stretch Jeans Floral Studded Denim Pants Slim fit Straight leg Washed Blue Y2K Fashion Statement Designer Style ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M3-SBLUE-1A.png?v=1776378876,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10763778751213193615,"BTEXPERT Slim fit Straight leg Stretch Denim Jeans Cargo Pockets Distressed All Over Frayed Ripped Patchwork Stacked Design Streetwear Statement Pants",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M5-JETBLACK-1A.png?v=1776378807,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10938970752912049483,"NOVASTILE Men’s Light Wash Rigid Distressed Ripped Jeans Relaxed Straight Fit Denim Pants Rip & Repair Washed Finish Casual Streetwear Everyday Wear ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M2-ICEBLUE-1A.png?v=1776378877,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10961976723891548787,"BTEXPERT Straight Fit Stretch Jeans Denim Pants With Rhinestone Studded Design Fashion Streetwear Comfortable 5-Pocket Statement Designer Style ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M4-LTTINT-1A.png?v=1776378880,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10979384932451608897,"NOVASTILE Distressed Relaxed STRAIGHT Fit Stretch Denim Jeans Classic Clean Minimal Design Everyday Casual Comfort Versatile Basic Denim Pants Light ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M7-ICEBLUE-1A.png?v=1776378886,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,11049897896011143698,"BTEXPERT Distressed Relaxed Fit Stretch Straight Leg Denim Jeans Classic Minimal Clean Design Everyday Casual Comfort Basic Denim Pants Light Wash M7 ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M7-SBLUE-1A.png?v=1776378873,,,,,,,,,,,0,,,,,,1,1,,,
